row_idx	col_idx	log2ratio	ranking	y2012	y2013	y2014	y2015	y2016
5	12	30.0	30.0	25	22.0	24.0	29.0	30.0
5	13	18.0	18.0	18	17.0	16.0	16.0	18.0
5	14	2.0	2.0	7	1.0	2.0	3.0	2.0
5	15	32.0	32.0					32.0
5	16	5.0	5.0					5.0
5	17	33.0	33.0	2	30.0	27.0	34.0	33.0
5	18	16.0	16.0	44	29.0	24.0	26.0	16.0
5	19	121.0	121.0	54	40.0	43.0	36.0	121.0
5	20	11.0	11.0	21	15.0	15.0	14.0	11.0
5	21	8.0	8.0					8.0
5	22	4.0	4.0					4.0
5	23	34.0	34.0	50	46.0	41.0	45.0	34.0
5	24	67.0	67.0					67.0
5	25	188.0	188.0	-	166.0	209.0	191.0	188.0
5	26	10.0	10.0	53	32.0	29.0	17.0	10.0
5	27	18.0	18.0	27	14.0	22.0	18.0	18.0
6	1	48.0	48.0				46.0	48.0
6	2	999.0	999.0					
6	3	3.0	3.0				5.0	3.0
6	4	18.0	18.0				22.0	18.0
6	5	24.0	24.0				19.0	24.0
6	6	39.0	39.0				46.0	39.0
6	7	10.0	10.0					10.0
6	8	23.0	23.0				26.0	23.0
6	9	46.0	46.0				47.0	46.0
6	10	13.0	13.0				15.0	13.0
6	11	999.0	999.0					
6	12	19.0	19.0				14.0	19.0
6	13	28.0	28.0				24.0	28.0
6	14	7.0	7.0				6.0	7.0
6	15	13.0	13.0					13.0
6	16	999.0	999.0					
6	17	25.0	25.0				29.0	25.0
6	18	20.0	20.0				16.0	20.0
6	19	17.0	17.0				28.0	17.0
6	20	15.0	15.0				15.0	15.0
6	21	14.0	14.0					14.0
6	22	65.0	65.0					65.0
6	23	44.0	44.0				62.0	44.0
6	24	37.0	37.0					37.0
6	25	44.0	44.0				14.0	44.0
6	26	23.0	23.0				34.0	23.0
6	27	12.0	12.0				9.0	12.0
7	1	9.0	9.0	6	8.0	8.0	7.0	9.0
7	2	999.0	999.0	-				
7	3	4.0	4.0	5	6.0	5.0	3.0	4.0
7	4	999.0	999.0	-				
7	5	999.0	999.0	-				
7	6	6.0	6.0	5	6.0	7.0	6.0	6.0
7	7	999.0	999.0					
7	8	999.0	999.0	-	139.0			
7	9	24.0	24.0	19	18.0	18.0	19.0	24.0
7	10	7.0	7.0	8	5.0	2.0	3.0	7.0
7	11	999.0	999.0					
7	12	14.0	14.0	11	12.0	12.0	12.0	14.0
7	13	999.0	999.0	-				
7	14	8.0	8.0	9	10.0	10.0	7.0	8.0
7	15	3.0	3.0					3.0
7	16	2.0	2.0					2.0
7	17	38.0	38.0	42	36.0	37.0	36.0	38.0
7	18	12.0	12.0	8	10.0	10.0	10.0	12.0
7	19	999.0	999.0	210				
7	20	93.0	93.0	86	91.0	95.0	97.0	93.0
7	21	4.0	4.0					4.0
7	22	999.0	999.0					
7	23	12.0	12.0	4	8.0	7.0	9.0	12.0
7	24	999.0	999.0					
7	25	41.0	41.0	52	43.0	58.0	55.0	41.0
7	26	9.0	9.0	13	12.0	9.0	9.0	9.0
7	27	40.0	40.0	42	30.0	29.0	37.0	40.0
8	1	19.0	19.0	24	24.0	18.0	20.0	19.0
8	2	999.0	999.0	-			46.0	
8	3	5.0	5.0	63	47.0	36.0	6.0	5.0
8	4	134.0	134.0	65	72.0	72.0	92.0	134.0
8	5	58.0	58.0	93	56.0	45.0	53.0	58.0
8	6	53.0	53.0	76	79.0	70.0	63.0	53.0
8	7	999.0	999.0					
8	8	20.0	20.0	25	12.0	12.0	15.0	20.0
8	9	95.0	95.0	82	57.0	75.0	98.0	95.0
8	10	6.0	6.0	5	3.0	7.0	6.0	6.0
8	11	999.0	999.0					
8	12	15.0	15.0	17	16.0	15.0	16.0	15.0
8	13	11.0	11.0	14	14.0	12.0	15.0	11.0
8	14	62.0	62.0	67	86.0	63.0	68.0	62.0
8	15	34.0	34.0					34.0
8	16	124.0	124.0					124.0
8	17	9.0	9.0	17	15.0	12.0	13.0	9.0
8	18	48.0	48.0	161	152.0	136.0	77.0	48.0
8	19	999.0	999.0	193			179.0	
8	20	2.0	2.0	2	2.0	2.0	2.0	2.0
8	21	50.0	50.0					50.0
8	22	999.0	999.0					
8	23	55.0	55.0	78	59.0	56.0	59.0	55.0
8	24	12.0	12.0					12.0
8	25	6.0	6.0	40	12.0	10.0	13.0	6.0
8	26	1.0	1.0	3	1.0	3.0	1.0	1.0
8	27	34.0	34.0	52	35.0	55.0	74.0	34.0
9	1	6.0	6.0			6.0	6.0	6.0
9	2	12.0	12.0			9.0	13.0	12.0
9	3	14.0	14.0			9.0	11.0	14.0
9	4	19.0	19.0			32.0	33.0	19.0
9	5	34.0	34.0			26.0	27.0	34.0
9	6	23.0	23.0			16.0	17.0	23.0
9	7	999.0	999.0					
9	8	48.0	48.0			43.0	47.0	48.0
9	9	11.0	11.0			12.0	10.0	11.0
9	10	8.0	8.0			29.0	22.0	8.0
9	11	1.0	1.0					1.0
9	12	13.0	13.0			68.0	61.0	13.0
9	13	999.0	999.0					
9	14	999.0	999.0				127.0	
9	15	37.0	37.0					37.0
9	16	46.0	46.0					46.0
9	17	21.0	21.0			20.0	23.0	21.0
9	18	15.0	15.0			15.0	21.0	15.0
9	19	999.0	999.0					
9	20	18.0	18.0			10.0	8.0	18.0
9	21	12.0	12.0					12.0
9	22	35.0	35.0					35.0
9	23	20.0	20.0			20.0	19.0	20.0
9	24	16.0	16.0					16.0
9	25	30.0	30.0			46.0	48.0	30.0
9	26	49.0	49.0			162.0	141.0	49.0
9	27	126.0	126.0			9.0	8.0	126.0
10	1	1.0	1.0	1	2.0	1.0	1.0	1.0
10	2	999.0	999.0	-				
10	3	10.0	10.0	11	11.0	12.0	7.0	10.0
10	4	999.0	999.0	-				
10	5	54.0	54.0	82	79.0	64.0	65.0	54.0
10	6	25.0	25.0	23	18.0	19.0	15.0	25.0
10	7	999.0	999.0					
10	8	28.0	28.0	59	38.0	25.0	29.0	28.0
10	9	49.0	49.0	65	70.0	70.0	49.0	49.0
10	10	61.0	61.0	70	75.0	79.0	74.0	61.0
10	11	999.0	999.0					
10	12	53.0	53.0	44	40.0	51.0	51.0	53.0
10	13	999.0	999.0	-				
10	14	999.0	999.0	-			139.0	
10	15	84.0	84.0					84.0
10	16	32.0	32.0					32.0
10	17	12.0	12.0	13	9.0	7.0	10.0	12.0
10	18	81.0	81.0	80	81.0	89.0	72.0	81.0
10	19	999.0	999.0	-				
10	20	13.0	13.0	5	7.0	9.0	10.0	13.0
10	21	3.0	3.0					3.0
10	22	20.0	20.0					20.0
10	23	57.0	57.0	13	6.0	37.0	50.0	57.0
10	24	34.0	34.0					34.0
10	25	19.0	19.0	29	32.0	19.0	23.0	19.0
10	26	7.0	7.0	8	9.0	8.0	8.0	7.0
10	27	16.0	16.0	20	22.0	27.0	19.0	16.0
11	1	36.0	36.0			30.0	40.0	36.0
11	2	999.0	999.0					
11	3	51.0	51.0			67.0	66.0	51.0
11	4	999.0	999.0					
11	5	19.0	19.0					19.0
11	6	999.0	999.0					
11	7	13.0	13.0					13.0
11	8	999.0	999.0					
11	9	999.0	999.0					
11	10	17.0	17.0			14.0	28.0	17.0
11	11	999.0	999.0					
11	12	51.0	51.0			65.0	60.0	51.0
11	13	54.0	54.0					54.0
11	14	999.0	999.0				130.0	
11	15	38.0	38.0					38.0
11	16	30.0	30.0					30.0
11	17	49.0	49.0			22.0	19.0	49.0
11	18	32.0	32.0			17.0	27.0	32.0
11	19	999.0	999.0					
11	20	22.0	22.0			6.0	9.0	22.0
11	21	6.0	6.0					6.0
11	22	133.0	133.0					133.0
11	23	1.0	1.0			1.0	1.0	1.0
11	24	96.0	96.0					96.0
11	25	91.0	91.0			139.0	96.0	91.0
11	26	28.0	28.0			23.0	22.0	28.0
11	27	1.0	1.0			1.0	1.0	1.0
12	1	17.0	17.0			19.0	17.0	17.0
12	2	999.0	999.0					
12	3	48.0	48.0			55.0	47.0	48.0
12	4	28.0	28.0			26.0	26.0	28.0
12	5	87.0	87.0			80.0	87.0	87.0
12	6	24.0	24.0			25.0	22.0	24.0
12	7	999.0	999.0					
12	8	36.0	36.0			31.0	33.0	36.0
12	9	16.0	16.0			28.0	18.0	16.0
12	10	32.0	32.0			40.0	37.0	32.0
12	11	999.0	999.0					
12	12	8.0	8.0			9.0	10.0	8.0
12	13	999.0	999.0					
12	14	22.0	22.0			25.0	23.0	22.0
12	15	8.0	8.0					8.0
12	16	999.0	999.0					
12	17	10.0	10.0			14.0	12.0	10.0
12	18	37.0	37.0			28.0	28.0	37.0
12	19	999.0	999.0					
12	20	103.0	103.0			109.0	106.0	103.0
12	21	2.0	2.0					2.0
12	22	163.0	163.0					163.0
12	23	15.0	15.0			24.0	13.0	15.0
12	24	999.0	999.0					
12	25	115.0	115.0			114.0	120.0	115.0
12	26	50.0	50.0			74.0	61.0	50.0
12	27	17.0	17.0			20.0	24.0	17.0
13	1	20.0	20.0	26	32.0	32.0	29.0	20.0
13	2	41.0	41.0	-			86.0	41.0
13	3	38.0	38.0	48	35.0	29.0	26.0	38.0
13	4	23.0	23.0	46	26.0	23.0	20.0	23.0
13	5	64.0	64.0	61	72.0	62.0	70.0	64.0
13	6	31.0	31.0	41	30.0	29.0	27.0	31.0
13	7	16.0	16.0					16.0
13	8	15.0	15.0	22	20.0	18.0	20.0	15.0
13	9	28.0	28.0	35	23.0	26.0	30.0	28.0
13	10	16.0	16.0	20	17.0	22.0	23.0	16.0
13	11	11.0	11.0					11.0
13	12	9.0	9.0	9	9.0	7.0	4.0	9.0
13	13	15.0	15.0	7	10.0	8.0	9.0	15.0
13	14	69.0	69.0	-			131.0	69.0
13	15	65.0	65.0					65.0
13	16	110.0	110.0					110.0
13	17	56.0	56.0	47	49.0	54.0	53.0	56.0
13	18	19.0	19.0	21	17.0	23.0	24.0	19.0
13	19	7.0	7.0	23	19.0	6.0	10.0	7.0
13	20	4.0	4.0	26	22.0	27.0	26.0	4.0
13	21	35.0	35.0					35.0
13	22	11.0	11.0					11.0
13	23	27.0	27.0	52	34.0	29.0	21.0	27.0
13	24	79.0	79.0					79.0
13	25	5.0	5.0	4	3.0	3.0	4.0	5.0
13	26	91.0	91.0	163	109.0	106.0	84.0	91.0
13	27	7.0	7.0	11	10.0	10.0	7.0	7.0
14	1	3.0	3.0	2	3.0	3.0	3.0	3.0
14	2	7.0	7.0	7	7.0	7.0	6.0	7.0
14	3	1.0	1.0	1	1.0	1.0	1.0	1.0
14	4	2.0	2.0	2	4.0	2.0	3.0	2.0
14	5	11.0	11.0	15	7.0	9.0	9.0	11.0
14	6	10.0	10.0	6	5.0	5.0	7.0	10.0
14	7	999.0	999.0					
14	8	3.0	3.0	3	2.0	4.0	4.0	3.0
14	9	4.0	4.0	6	5.0	6.0	6.0	4.0
14	10	9.0	9.0	9	22.0	31.0	12.0	9.0
14	11	43.0	43.0					43.0
14	12	5.0	5.0	4	6.0	5.0	6.0	5.0
14	13	3.0	3.0	9	6.0	5.0	4.0	3.0
14	14	15.0	15.0	14	12.0	12.0	12.0	15.0
14	15	17.0	17.0					17.0
14	16	27.0	27.0					27.0
14	17	18.0	18.0	20	18.0	19.0	15.0	18.0
14	18	7.0	7.0	7	7.0	6.0	6.0	7.0
14	19	999.0	999.0	-		149.0	197.0	
14	20	51.0	51.0	47	44.0	47.0	40.0	51.0
14	21	122.0	122.0					122.0
14	22	242.0	242.0					242.0
14	23	116.0	116.0	120	137.0	168.0	153.0	116.0
14	24	999.0	999.0					
14	25	4.0	4.0	10	11.0	6.0	6.0	4.0
14	26	41.0	41.0	20	35.0	38.0	50.0	41.0
14	27	999.0	999.0	295	152.0	289.0		
15	1	37.0	37.0			37.0	45.0	37.0
15	2	25.0	25.0			30.0	25.0	25.0
15	3	11.0	11.0			8.0	10.0	11.0
15	4	5.0	5.0			11.0	8.0	5.0
15	5	20.0	20.0			21.0	20.0	20.0
15	6	33.0	33.0			33.0	30.0	33.0
15	7	35.0	35.0					35.0
15	8	22.0	22.0					22.0
15	9	17.0	17.0			14.0	13.0	17.0
15	10	25.0	25.0			23.0	27.0	25.0
15	11	999.0	999.0					
15	12	28.0	28.0			16.0	26.0	28.0
15	13	41.0	41.0			37.0	34.0	41.0
15	14	999.0	999.0				141.0	
15	15	16.0	16.0					16.0
15	16	999.0	999.0					
15	17	16.0	16.0			8.0	7.0	16.0
15	18	31.0	31.0			30.0	29.0	31.0
15	19	25.0	25.0			12.0	11.0	25.0
15	20	38.0	38.0			30.0	30.0	38.0
15	21	13.0	13.0					13.0
15	22	3.0	3.0					3.0
15	23	2.0	2.0			3.0	4.0	2.0
15	24	57.0	57.0					57.0
15	25	15.0	15.0			14.0	18.0	15.0
15	26	12.0	12.0			18.0	15.0	12.0
15	27	6.0	6.0			6.0	6.0	6.0
16	1	26.0	26.0		13.0	11.0		26.0
16	2	24.0	24.0		10.0	13.0		24.0
16	3	23.0	23.0		28.0	19.0		23.0
16	4	3.0	3.0		9.0	6.0		3.0
16	5	1.0	1.0		1.0	1.0		1.0
16	6	17.0	17.0		23.0	15.0		17.0
16	7	26.0	26.0					26.0
16	8	18.0	18.0		32.0	50.0		18.0
16	9	7.0	7.0		11.0	8.0		7.0
16	10	11.0	11.0		15.0	13.0		11.0
16	11	45.0	45.0					45.0
16	12	32.0	32.0		24.0	30.0		32.0
16	13	20.0	20.0		62.0	41.0		20.0
16	14	23.0	23.0		27.0	24.0		23.0
16	15	12.0	12.0					12.0
16	16	3.0	3.0					3.0
16	17	11.0	11.0		7.0	10.0		11.0
16	18	21.0	21.0		48.0	53.0		21.0
16	19	1.0	1.0		1.0	1.0		1.0
16	20	76.0	76.0		106.0	93.0		76.0
16	21	65.0	65.0					65.0
16	22	62.0	62.0					62.0
16	23	101.0	101.0		90.0	91.0		101.0
16	24	26.0	26.0					26.0
16	25	10.0	10.0		41.0	39.0		10.0
16	26	20.0	20.0		48.0	43.0		20.0
16	27	57.0	57.0		44.0	54.0		57.0
17	1	67.0	67.0	75	72.0			67.0
17	2	999.0	999.0	-				
17	3	33.0	33.0	31	22.0			33.0
17	4	41.0	41.0	45	48.0			41.0
17	5	102.0	102.0	114	106.0			102.0
17	6	84.0	84.0	117	98.0			84.0
17	7	22.0	22.0					22.0
17	8	999.0	999.0	125	164.0			
17	9	83.0	83.0	69	56.0			83.0
17	10	39.0	39.0	35	31.0			39.0
17	11	999.0	999.0					
17	12	48.0	48.0	83	50.0			48.0
17	13	33.0	33.0	37	36.0			33.0
17	14	999.0	999.0	-				
17	15	101.0	101.0					101.0
17	16	999.0	999.0					
17	17	54.0	54.0	45	42.0			54.0
17	18	54.0	54.0	62	60.0			54.0
17	19	999.0	999.0	-				
17	20	12.0	12.0	15	18.0			12.0
17	21	10.0	10.0					10.0
17	22	999.0	999.0					
17	23	6.0	6.0	39	33.0			6.0
17	24	86.0	86.0					86.0
17	25	142.0	142.0	123	102.0			142.0
17	26	45.0	45.0	101	92.0			45.0
17	27	147.0	147.0	143	156.0			147.0
18	1	16.0	16.0				22.0	16.0
18	2	999.0	999.0					
18	3	47.0	47.0				42.0	47.0
18	4	57.0	57.0				58.0	57.0
18	5	185.0	185.0					185.0
18	6	73.0	73.0				83.0	73.0
18	7	999.0	999.0					
18	8	999.0	999.0					
18	9	55.0	55.0				60.0	55.0
18	10	18.0	18.0				19.0	18.0
18	11	999.0	999.0					
18	12	17.0	17.0				33.0	17.0
18	13	22.0	22.0				25.0	22.0
18	14	999.0	999.0				156.0	
18	15	43.0	43.0					43.0
18	16	999.0	999.0					
18	17	63.0	63.0				59.0	63.0
18	18	55.0	55.0				52.0	55.0
18	19	146.0	146.0				56.0	146.0
18	20	17.0	17.0				18.0	17.0
18	21	7.0	7.0					7.0
18	22	19.0	19.0					19.0
18	23	37.0	37.0				30.0	37.0
18	24	28.0	28.0					28.0
18	25	34.0	34.0				39.0	34.0
18	26	227.0	227.0				79.0	227.0
18	27	28.0	28.0				27.0	28.0
19	1	7.0	7.0					7.0
19	2	999.0	999.0					
19	3	999.0	999.0					
19	4	999.0	999.0					
19	5	999.0	999.0					
19	6	999.0	999.0					
19	7	999.0	999.0					
19	8	999.0	999.0					
19	9	999.0	999.0					
19	10	999.0	999.0					
19	11	999.0	999.0					
19	12	36.0	36.0					36.0
19	13	999.0	999.0					
19	14	999.0	999.0					
19	15	999.0	999.0					
19	16	999.0	999.0					
19	17	5.0	5.0					5.0
19	18	999.0	999.0					
19	19	999.0	999.0					
19	20	6.0	6.0					6.0
19	21	11.0	11.0					11.0
19	22	999.0	999.0					
19	23	17.0	17.0					17.0
19	24	999.0	999.0					
19	25	999.0	999.0					
19	26	999.0	999.0					
19	27	15.0	15.0					15.0
20	1	18.0	18.0	21	20.0	28.0	31.0	18.0
20	2	44.0	44.0	40	42.0	42.0	40.0	44.0
20	3	17.0	17.0	17	16.0	16.0	18.0	17.0
20	4	34.0	34.0	66	53.0	35.0	35.0	34.0
20	5	116.0	116.0	66	92.0	86.0	91.0	116.0
20	6	83.0	83.0	28	26.0	24.0	37.0	83.0
20	7	43.0	43.0					43.0
20	8	999.0	999.0	119	141.0			
20	9	103.0	103.0	67	84.0	79.0	118.0	103.0
20	10	48.0	48.0	51	48.0	54.0	49.0	48.0
20	11	20.0	20.0					20.0
20	12	34.0	34.0	15	21.0	21.0	18.0	34.0
20	13	19.0	19.0	17	16.0	11.0	13.0	19.0
20	14	12.0	12.0	10	8.0	9.0	10.0	12.0
20	15	4.0	4.0					4.0
20	16	7.0	7.0					7.0
20	17	50.0	50.0	34	50.0	53.0	49.0	50.0
20	18	23.0	23.0	18	27.0	16.0	15.0	23.0
20	19	67.0	67.0	82				67.0
20	20	21.0	21.0	13	30.0	23.0	22.0	21.0
20	21	15.0	15.0					15.0
20	22	27.0	27.0					27.0
20	23	95.0	95.0	59	78.0	76.0	78.0	95.0
20	24	145.0	145.0					145.0
20	25	999.0	999.0	80	56.0	71.0	82.0	
20	26	68.0	68.0	17	20.0	24.0	23.0	68.0
20	27	29.0	29.0	15	42.0	36.0	38.0	29.0
21	1	40.0	40.0					40.0
21	2	10.0	10.0					10.0
21	3	40.0	40.0					40.0
21	4	10.0	10.0					10.0
21	5	16.0	16.0					16.0
21	6	5.0	5.0					5.0
21	7	2.0	2.0					2.0
21	8	1.0	1.0					1.0
21	9	2.0	2.0					2.0
21	10	29.0	29.0					29.0
21	11	2.0	2.0					2.0
21	12	24.0	24.0					24.0
21	13	17.0	17.0					17.0
21	14	10.0	10.0					10.0
21	15	7.0	7.0					7.0
21	16	57.0	57.0					57.0
21	17	2.0	2.0					2.0
21	18	8.0	8.0					8.0
21	19	11.0	11.0					11.0
21	20	47.0	47.0					47.0
21	21	67.0	67.0					67.0
21	22	41.0	41.0					41.0
21	23	5.0	5.0					5.0
21	24	121.0	121.0					121.0
21	25	36.0	36.0					36.0
21	26	15.0	15.0					15.0
21	27	2.0	2.0					2.0
22	1	4.0	4.0	3	4.0	4.0	4.0	4.0
22	2	59.0	59.0	63	61.0	71.0	52.0	59.0
22	3	102.0	102.0	98	90.0	98.0	103.0	102.0
22	4	30.0	30.0	26	22.0	10.0	49.0	30.0
22	5	51.0	51.0	23	26.0	32.0	45.0	51.0
22	6	22.0	22.0	18	16.0	22.0	21.0	22.0
22	7	8.0	8.0					8.0
22	8	9.0	9.0	7	5.0	8.0	7.0	9.0
22	9	3.0	3.0	5	6.0	5.0	5.0	3.0
22	10	38.0	38.0	42	43.0	42.0	24.0	38.0
22	11	39.0	39.0					39.0
22	12	27.0	27.0	29	35.0	26.0	30.0	27.0
22	13	39.0	39.0	32	32.0	28.0	30.0	39.0
22	14	999.0	999.0	-			145.0	
22	15	28.0	28.0					28.0
22	16	999.0	999.0					
22	17	28.0	28.0	21	20.0	21.0	28.0	28.0
22	18	18.0	18.0	11	12.0	14.0	20.0	18.0
22	19	28.0	28.0	18	22.0	22.0	24.0	28.0
22	20	64.0	64.0	45	42.0	54.0	60.0	64.0
22	21	22.0	22.0					22.0
22	22	17.0	17.0					17.0
22	23	59.0	59.0	26	31.0	50.0	56.0	59.0
22	24	47.0	47.0					47.0
22	25	42.0	42.0	24	27.0	31.0	36.0	42.0
22	26	135.0	135.0	21	21.0	22.0	37.0	135.0
22	27	32.0	32.0	31	38.0	42.0	35.0	32.0
23	1	41.0	41.0					41.0
23	2	999.0	999.0					
23	3	999.0	999.0					
23	4	113.0	113.0					113.0
23	5	113.0	113.0					113.0
23	6	64.0	64.0					64.0
23	7	999.0	999.0					
23	8	999.0	999.0					
23	9	129.0	129.0					129.0
23	10	56.0	56.0					56.0
23	11	999.0	999.0					
23	12	68.0	68.0					68.0
23	13	999.0	999.0					
23	14	999.0	999.0					
23	15	236.0	236.0					236.0
23	16	999.0	999.0					
23	17	13.0	13.0					13.0
23	18	29.0	29.0					29.0
23	19	999.0	999.0					
23	20	23.0	23.0					23.0
23	21	28.0	28.0					28.0
23	22	999.0	999.0					
23	23	4.0	4.0					4.0
23	24	145.0	145.0					145.0
23	25	72.0	72.0					72.0
23	26	18.0	18.0					18.0
23	27	24.0	24.0					24.0
24	1	30.0	30.0				25.0	30.0
24	2	34.0	34.0				35.0	34.0
24	3	16.0	16.0				16.0	16.0
24	4	60.0	60.0				60.0	60.0
24	5	98.0	98.0				105.0	98.0
24	6	29.0	29.0				32.0	29.0
24	7	30.0	30.0					30.0
24	8	24.0	24.0				24.0	24.0
24	9	25.0	25.0				31.0	25.0
24	10	51.0	51.0				55.0	51.0
24	11	999.0	999.0					
24	12	44.0	44.0				46.0	44.0
24	13	29.0	29.0				36.0	29.0
24	14	999.0	999.0				142.0	
24	15	33.0	33.0					33.0
24	16	36.0	36.0					36.0
24	17	88.0	88.0				101.0	88.0
24	18	26.0	26.0				51.0	26.0
24	19	2.0	2.0				2.0	2.0
24	20	29.0	29.0				23.0	29.0
24	21	30.0	30.0					30.0
24	22	6.0	6.0					6.0
24	23	61.0	61.0				70.0	61.0
24	24	15.0	15.0					15.0
24	25	18.0	18.0				33.0	18.0
24	26	71.0	71.0				121.0	71.0
24	27	104.0	104.0				40.0	104.0
25	1	24.0	24.0				26.0	24.0
25	2	1.0	1.0				3.0	1.0
25	3	8.0	8.0				4.0	8.0
25	4	4.0	4.0				4.0	4.0
25	5	9.0	9.0				5.0	9.0
25	6	2.0	2.0				2.0	2.0
25	7	1.0	1.0					1.0
25	8	8.0	8.0				8.0	8.0
25	9	5.0	5.0				2.0	5.0
25	10	14.0	14.0				9.0	14.0
25	11	19.0	19.0					19.0
25	12	42.0	42.0				27.0	42.0
25	13	999.0	999.0					
25	14	37.0	37.0				14.0	37.0
25	15	999.0	999.0					
25	16	999.0	999.0					
25	17	24.0	24.0				26.0	24.0
25	18	3.0	3.0				3.0	3.0
25	19	76.0	76.0					76.0
25	20	131.0	131.0				136.0	131.0
25	21	193.0	193.0					193.0
25	22	999.0	999.0					
25	23	67.0	67.0				55.0	67.0
25	24	999.0	999.0					
25	25	22.0	22.0				34.0	22.0
25	26	22.0	22.0				35.0	22.0
25	27	172.0	172.0				186.0	172.0
